crc32_fast.c,85,14,29,1,42,27,22,104,129,49,233,906,0.02,50,45300,0.3,2516.67,10,5,9,1,0,6,0.14,5,9,1.5,0.07,0
crc32_small.c,64,15,11,1,38,23,20,64,82,43,146,549,0.04,25,13725,0.18,762.5,10,5,1,2,1,5,0.13,2.5,1,0.2,0.08,0
crc32_table.c,21,2,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0.05,0
crc32_tablegen.c,119,28,15,1,76,37,21,150,182,58,332,1348,0.02,50,67400,0.45,3744.44,38,19,16,8,2,18,0.24,2.38,16,0.89,0.15,0
crc64_fast.c,75,13,16,1,46,27,22,90,115,49,205,797,0.03,33.33,26566.67,0.27,1475.93,10,5,6,1,0,6,0.13,5,6,1,0.08,0
crc64_small.c,56,13,11,1,32,22,20,58,73,42,131,489,0.04,25,12225,0.16,679.17,10,5,1,2,1,5,0.16,2.5,1,0.2,0.09,0
crc64_table.c,21,2,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0.05,0
crc64_tablegen.c,90,19,14,1,57,35,21,120,143,56,263,1058,0.03,33.33,35266.67,0.35,1959.26,34,17,8,8,3,15,0.26,2.13,8,0.53,0.17,0
create.c,310,0,135,1,175,60,19,183,249,79,432,1887,0.03,33.33,62900,0.63,3494.44,40,20,14,18,4,17,0.1,1.11,14,0.82,0.05,0
create1.c,68,0,42,1,26,13,9,23,30,22,53,163,0.13,7.69,1253.85,0.05,69.66,0,0,4,0,0,1,0.04,0,4,4,0.01,0
create2.c,111,0,72,1,39,22,13,49,69,35,118,419,0.07,14.29,5985.71,0.14,332.54,2,1,8,0,0,2,0.05,0,8,4,0.02,0
create3.c,111,0,72,1,39,22,13,51,74,35,125,444,0.07,14.29,6342.86,0.15,352.38,2,1,8,0,0,2,0.05,0,8,4,0.02,0
crop-filter.c,226,44,0,0,182,124,19,449,551,143,1000,4962,0.03,33.33,165400,1.65,9188.89,24,12,69,10,2,11,0.06,1.2,69,6.27,0.05,0
cursor-capture.c,248,48,0,0,200,129,30,541,652,159,1193,6047,0.02,50,302350,2.02,16797.22,60,30,43,22,2,29,0.14,1.36,43,1.48,0.12,0
dc-capture.c,199,43,0,0,156,125,19,391,481,144,872,4333,0.03,33.33,144433.33,1.44,8024.07,48,24,47,23,4,21,0.13,1.04,47,2.24,0.11,0
decl.c,241,36,18,1,187,108,26,423,585,134,1008,4937,0.02,50,246850,1.65,13713.89,92,46,60,43,9,38,0.2,1.07,60,1.58,0.16,0
decode.c,366,40,15,1,311,133,31,648,837,164,1485,7573,0.01,100,757300,2.52,42072.22,118,59,63,55,8,52,0.17,1.07,63,1.21,0.14,0
delay1.c,53,0,38,1,15,10,11,12,18,21,30,91,0.15,6.67,606.67,0.03,33.7,0,0,2,0,0,1,0.07,0,2,2,0.02,0
delay2.c,84,0,38,1,46,29,11,61,81,40,142,523,0.09,11.11,5811.11,0.17,322.84,0,0,17,0,0,1,0.02,0,17,17,0.01,0
delta_common.c,72,14,17,1,41,37,19,98,117,56,215,865,0.04,25,21625,0.29,1201.39,8,4,2,4,0,5,0.12,1,2,0.4,0.07,0
delta_decoder.c,79,18,11,1,50,51,22,136,140,73,276,1184,0.03,33.33,39466.67,0.39,2192.59,6,3,3,2,0,4,0.08,1.5,3,0.75,0.05,0
delta_encoder.c,124,25,21,1,78,62,24,222,227,86,449,2000,0.02,50,100000,0.67,5555.56,12,6,6,3,1,6,0.08,2,6,1,0.05,0
detach1.c,95,0,46,1,49,25,16,66,88,41,154,571,0.05,20,11420,0.19,634.44,6,3,11,0,0,4,0.08,0,11,2.75,0.04,0
dll.c,95,0,49,1,46,20,9,28,39,29,67,225,0.16,6.25,1406.25,0.08,78.13,8,4,0,4,1,3,0.07,1,0,0,0.03,0
dstr.c,791,152,19,1,620,145,29,1350,1854,174,3204,16529,0.01,100,1652900,5.51,91827.78,246,123,135,100,13,111,0.18,1.23,135,1.22,0.14,0
dump.c,449,79,17,1,353,168,34,683,924,202,1607,8530,0.01,100,853000,2.84,47388.89,160,80,87,72,10,69,0.2,1.11,87,1.26,0.15,0
duplicator-monitor-capture.c,325,72,6,0,247,136,28,508,630,164,1138,5803,0.02,50,290150,1.93,16119.44,56,28,59,21,3,25,0.1,1.33,59,2.36,0.08,0
dvtcc.c,24,4,0,0,20,21,16,52,58,37,110,397,0.05,20,7940,0.13,441.11,6,3,1,2,0,4,0.2,1.5,1,0.25,0.17,0
easy_buffer_encoder.c,30,4,11,1,15,22,9,35,33,31,68,233,0.14,7.14,1664.29,0.08,92.46,2,1,0,1,0,2,0.13,1,0,0,0.07,0
easy_decoder_memusage.c,27,4,11,1,12,11,8,14,15,19,29,85,0.2,5,425,0.03,23.61,2,1,0,1,0,2,0.17,1,0,0,0.07,0
easy_encoder.c,28,4,11,1,13,15,9,20,20,24,40,127,0.17,5.88,747.06,0.04,41.5,2,1,0,1,0,2,0.15,1,0,0,0.07,0
easy_encoder_memusage.c,27,4,11,1,12,11,8,14,15,19,29,85,0.2,5,425,0.03,23.61,2,1,0,1,0,2,0.17,1,0,0,0.07,0
easy_preset.c,30,5,11,1,14,17,12,28,31,29,59,198,0.1,10,1980,0.07,110,2,1,0,1,0,2,0.14,1,0,0,0.07,0
effect-parser.c,2069,375,69,1,1625,511,37,4195,5833,548,10028,63239,0.01,100,6323900,21.08,351327.78,778,389,526,337,56,329,0.2,1.15,526,1.6,0.16,0
effect.c,549,101,16,1,432,162,27,967,1221,189,2188,11468,0.01,100,1146800,3.82,63711.11,142,71,67,56,4,68,0.16,1.27,67,0.99,0.12,0
eia608.c,317,51,37,1,229,178,29,575,781,207,1356,7231,0.02,50,361550,2.41,20086.11,126,63,40,55,14,49,0.21,1.15,40,0.82,0.15,0
eia608_charmap.c,210,0,29,1,181,177,6,177,181,183,358,1864,0.33,3.03,5648.48,0.62,313.8,0,0,0,0,0,1,0.01,0,0,0,0,0
eia608_from_utf8.c,500,5,120,1,375,289,17,592,972,306,1564,8951,0.06,16.67,149183.33,2.98,8287.96,242,121,0,121,12,105,0.28,1,0,0,0.21,0
encoder.c,1018,189,15,0,814,452,33,1776,1966,485,3742,23141,0.02,50,1157050,7.71,64280.56,138,69,248,56,11,59,0.07,1.23,248,4.2,0.06,0
equal1.c,68,0,40,1,28,16,9,36,48,25,84,270,0.1,10,2700,0.09,150,0,0,10,0,0,1,0.04,0,10,10,0.01,0
errno.c,96,0,66,1,30,10,11,17,32,21,49,149,0.11,9.09,1354.55,0.05,75.25,4,2,1,2,1,2,0.07,1,1,0.5,0.02,0
errno1.c,179,0,92,1,87,34,21,124,160,55,284,1138,0.03,33.33,37933.33,0.38,2107.41,8,4,18,1,0,5,0.06,4,18,3.6,0.03,0
error.c,65,10,1,0,54,31,17,125,146,48,271,1049,0.03,33.33,34966.67,0.35,1942.59,16,8,9,8,2,7,0.13,1,9,1.29,0.11,0
exception1.c,265,0,113,1,152,47,21,197,285,68,482,2033,0.02,50,101650,0.68,5647.22,12,6,34,1,0,7,0.05,6,34,4.86,0.03,0
exception2.c,160,0,78,1,82,35,18,61,82,53,143,567,0.06,16.67,9450,0.19,525,4,2,11,1,0,3,0.04,2,11,3.67,0.02,0
exception3.c,185,0,90,1,95,49,16,104,129,65,233,972,0.06,16.67,16200,0.32,900,2,1,25,0,0,2,0.02,0,25,12.5,0.01,0
exit.c,46,0,36,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0.02,0
exit1.c,52,0,39,1,13,6,7,8,14,13,22,56,0.21,4.76,266.67,0.02,14.82,0,0,2,0,0,1,0.08,0,2,2,0.02,0
